Date,Month,Day,Year,TB10YRS
7/1/2011,7,1,2011,3.003
8/1/2011,8,1,2011,2.303043478
9/1/2011,9,1,2011,1.975238095
10/1/2011,10,1,2011,2.152
11/1/2011,11,1,2011,2.0135
12/1/2011,12,1,2011,1.978095238
1/1/2012,1,1,2012,1.9665
2/1/2012,2,1,2012,1.9675
3/1/2012,3,1,2012,2.172727273
4/1/2012,4,1,2012,2.052857143
5/1/2012,5,1,2012,1.803181818
6/1/2012,6,1,2012,1.622380952
7/1/2012,7,1,2012,1.526666667
8/1/2012,8,1,2012,1.67826087
9/1/2012,9,1,2012,1.723157895
10/1/2012,10,1,2012,1.746190476
11/1/2012,11,1,2012,1.654
12/1/2012,12,1,2012,1.719
1/1/2013,1,1,2013,1.914761905
2/1/2013,2,1,2013,1.984210526
3/1/2013,3,1,2013,1.9575
4/1/2013,4,1,2013,1.759090909
5/1/2013,5,1,2013,1.928181818
6/1/2013,6,1,2013,2.3
7/1/2013,7,1,2013,2.582272727
8/1/2013,8,1,2013,2.737272727
9/1/2013,9,1,2013,2.8095
10/1/2013,10,1,2013,2.615909091
11/1/2013,11,1,2013,2.718421053
12/1/2013,12,1,2013,2.901904762
1/1/2014,1,1,2014,2.858095238
2/1/2014,2,1,2014,2.709473684
3/1/2014,3,1,2014,2.723333333
4/1/2014,4,1,2014,2.705238095
5/1/2014,5,1,2014,2.559047619
6/1/2014,6,1,2014,2.598571429
7/1/2014,7,1,2014,2.542272727
8/1/2014,8,1,2014,2.42
9/1/2014,9,1,2014,2.534285714
10/1/2014,10,1,2014,2.304090909
11/1/2014,11,1,2014,2.325555556
12/1/2014,12,1,2014,2.207272727
1/1/2015,1,1,2015,1.8815
2/1/2015,2,1,2015,1.975263158
3/1/2015,3,1,2015,2.042727273
4/1/2015,4,1,2015,1.935
5/1/2015,5,1,2015,2.1975
6/1/2015,6,1,2015,2.363636364
7/1/2015,7,1,2015,2.324545455
8/1/2015,8,1,2015,2.167142857
9/1/2015,9,1,2015,2.172857143
10/1/2015,10,1,2015,2.07
11/1/2015,11,1,2015,2.263157895
12/1/2015,12,1,2015,2.242727273
1/1/2016,1,1,2016,2.085263158
2/1/2016,2,1,2016,1.7795
3/1/2016,3,1,2016,1.889090909
4/1/2016,4,1,2016,1.805238095
5/1/2016,5,1,2016,1.806190476
6/1/2016,6,1,2016,1.644090909
7/1/2016,7,1,2016,1.504
8/1/2016,8,1,2016,1.556521739
9/1/2016,9,1,2016,1.63047619
10/1/2016,10,1,2016,1.7645
11/1/2016,11,1,2016,2.142
12/1/2016,12,1,2016,2.491904762
1/1/2017,1,1,2017,2.4325
2/1/2017,2,1,2017,2.418947368
3/1/2017,3,1,2017,2.48173913
4/1/2017,4,1,2017,2.297368421
5/1/2017,5,1,2017,2.303636364
6/1/2017,6,1,2017,2.186818182
7/1/2017,7,1,2017,2.318
8/1/2017,8,1,2017,2.209130435
9/1/2017,9,1,2017,2.202
10/1/2017,10,1,2017,2.36
11/1/2017,11,1,2017,2.353333333
12/1/2017,12,1,2017,2.4025
1/1/2018,1,1,2018,2.583809524
2/1/2018,2,1,2018,2.858947368
3/1/2018,3,1,2018,2.842380952
4/1/2018,4,1,2018,2.869047619
5/1/2018,5,1,2018,2.977727273
6/1/2018,6,1,2018,2.912380952
7/1/2018,7,1,2018,2.889047619
8/1/2018,8,1,2018,2.889130435
9/1/2018,9,1,2018,3.004210526
10/1/2018,10,1,2018,3.152272727
11/1/2018,11,1,2018,3.117
12/1/2018,12,1,2018,2.832631579
1/1/2019,1,1,2019,2.713809524
2/1/2019,2,1,2019,2.676315789
3/1/2019,3,1,2019,2.570952381
4/1/2019,4,1,2019,2.532380952
5/1/2019,5,1,2019,2.395
6/1/2019,6,1,2019,2.074
7/1/2019,7,1,2019,2.059090909
8/1/2019,8,1,2019,1.626363636
9/1/2019,9,1,2019,1.6995
10/1/2019,10,1,2019,1.706818182
11/1/2019,11,1,2019,1.812105263
12/1/2019,12,1,2019,1.862857143
1/1/2020,1,1,2020,1.757619048
2/1/2020,2,1,2020,1.504210526
3/1/2020,3,1,2020,0.87
4/1/2020,4,1,2020,0.657619048
5/1/2020,5,1,2020,0.674
6/1/2020,6,1,2020,0.728636364
7/1/2020,7,1,2020,0.623636364
8/1/2020,8,1,2020,0.65
9/1/2020,9,1,2020,0.67952381
10/1/2020,10,1,2020,0.787142857
11/1/2020,11,1,2020,0.87
12/1/2020,12,1,2020,0.933636364
1/1/2021,1,1,2021,1.081052632
